Trembl_Hit	Protein_ID	V2
A0A0G4HMG2	Sfitti_g23225	GO:0016491
A0A0G4HMG2	Sfitti_g9235	GO:0016491
A0A0G4HQW4	Sfitti_g13580	GO:0005623; GO:0050660; GO:0016491; GO:0045454
A0A0G4HRB2	Sfitti_g9175	GO:0015930; GO:0006807
A0A0G4HRD0	Sfitti_g12013	
A0A0G4HSB6	Sfitti_g3336	GO:0050660; GO:0010181; GO:0016040; GO:0005506; GO:0051536; GO:0006537
A0A0G4HVI7	Sfitti_g15434	GO:0003824; GO:0030151; GO:0030170
A0A0G4HYJ9	Sfitti_g15660	
A0A0G4I0S5	Sfitti_g22125	
A0A0G4I0S5	Sfitti_g9635	
A0A0G4I0S5	Sfitti_g16785	
A0A0G4I318	Sfitti_g21826	
A0A0G4I318	Sfitti_g7937	
A0A0G4ICL9	Sfitti_g4099	GO:0036459; GO:0016579; GO:0006511
A0A0G4IJU7	Sfitti_g21080	
A0A0G4J697	Sfitti_g18738	
A0A0H2MAP0	Sfitti_g23655	GO:0004399; GO:0051287; GO:0008270; GO:0000105
A0A0H3LZ38	Sfitti_g12906	
A0A0H4NWY2	Sfitti_g21698	GO:0030076; GO:0018298
A0A0H4NWY2	Sfitti_g21496	GO:0030076; GO:0018298
A0A0J5PZK7	Sfitti_g4678	GO:0005524; GO:0003677; GO:0003910; GO:0071897; GO:0051103; GO:0006310; GO:0006260
A0A0J7KIR4	Sfitti_g14129	GO:0030060; GO:0005975; GO:0006108; GO:0006099
A0A0K0VKB7	Sfitti_g23759	GO:0005525; GO:0003924; GO:0003746
A0A0K0VKB7	Sfitti_g24141	GO:0005525; GO:0003924; GO:0003746
A0A0K0VKB7	Sfitti_g4544	GO:0005525; GO:0003924; GO:0003746
A0A0K0VKB7	Sfitti_g4543	GO:0005525; GO:0003924; GO:0003746
A0A0K0VKB7	Sfitti_g8974	GO:0005525; GO:0003924; GO:0003746
A0A0K1RWD8	Sfitti_g439	GO:0005871; GO:0003777
A0A0K8W9J8	Sfitti_g13503	
A0A0L0BTX3	Sfitti_g9684	GO:0016021; GO:0005634
A0A0L0FBF1	Sfitti_g9393	
A0A0L0FBF1	Sfitti_g15188	
A0A0L0FBF1	Sfitti_g5130	
A0A0L0FBF1	Sfitti_g8122	
A0A0L7R810	Sfitti_g3844	GO:0016021
A0A0L8GLT7	Sfitti_g17814	GO:0016021
A0A0L8GX76	Sfitti_g9898	
A0A0M0J457	Sfitti_g7529	GO:0005623; GO:0005509; GO:0003956; GO:0045454; GO:0006471
A0A0M0J4M9	Sfitti_g5556	
A0A0M0J4S3	Sfitti_g6216	GO:0005509; GO:0003824
A0A0M0J541	Sfitti_g22222	
A0A0M0J541	Sfitti_g19871	
A0A0M0J6M1	Sfitti_g1474	GO:0004180
A0A0M0J717	Sfitti_g2679	GO:0016021; GO:0016787; GO:0006629
A0A0M0J9F3	Sfitti_g1577	GO:0003676
A0A0M0JCJ9	Sfitti_g195	GO:0003676; GO:0016491
A0A0M0JLR3	Sfitti_g23064	
A0A0M0JLV1	Sfitti_g8950	GO:0016021
A0A0M0JM05	Sfitti_g7622	GO:0020037; GO:0004601; GO:0006979
A0A0M0JN45	Sfitti_g14994	GO:0016021
A0A0M0JQK6	Sfitti_g3500	
A0A0M0JSY3	Sfitti_g13281	
A0A0M0JSY3	Sfitti_g22947	
A0A0M0JVC8	Sfitti_g5728	
A0A0M0JX28	Sfitti_g1485	GO:0016787
A0A0M0JXS0	Sfitti_g16494	
A0A0M0JY30	Sfitti_g23727	GO:0005975
A0A0M0JYD7	Sfitti_g525	GO:0016787
A0A0M0K8V4	Sfitti_g6847	GO:0005623; GO:0045454
A0A0M3I9E3	Sfitti_g10925	
A0A0M9G741	Sfitti_g10887	GO:0008168; GO:0006479
A0A0N5DNE5	Sfitti_g3469	GO:0005524; GO:0004386; GO:0003723
A0A0N7L578	Sfitti_g17671	
A0A0N8B537	Sfitti_g13936	GO:0005874; GO:0005525; GO:0003924; GO:0005200; GO:0007017
A0A0N8H565	Sfitti_g1035	GO:0005634; GO:0003677
A0A0N8H565	Sfitti_g1034	GO:0005634; GO:0003677
A0A0N8PMU5	Sfitti_g1947	GO:0005524; GO:0003676
A0A0P1ARU2	Sfitti_g16761	
A0A0P4Z0U0	Sfitti_g16922	GO:0005524; GO:0004003; GO:0003677
A0A0P5BBG2	Sfitti_g6125	GO:0050660; GO:0016614
A0A0P6W6Z8	Sfitti_g13140	
A0A0P8K1U4	Sfitti_g21730	
A0A0P9CST2	Sfitti_g4656	GO:0016491
A0A0R1QR22	Sfitti_g11382	GO:0003676; GO:0006139
A0A0R3SLQ0	Sfitti_g1390	GO:0005681; GO:0017070; GO:0000398
A0A0S3FU65	Sfitti_g20391	
A0A0S4J090	Sfitti_g4756	GO:0016021
A0A0S4KHQ7	Sfitti_g5506	GO:0007049
A0A0S4TD92	Sfitti_g11202	
A0A0S7M9X6	Sfitti_g1184	
A0A0S8GTY0	Sfitti_g1437	GO:0004252; GO:0070008
A0A0T1PZI4	Sfitti_g8252	
A0A0U9HIC7	Sfitti_g19391	GO:0046872; GO:0004842
A0A0U9HVH0	Sfitti_g12094	GO:0016021; GO:0005524; GO:0042626
A0A0V0HN42	Sfitti_g3493	GO:0004476; GO:0008270; GO:0005975; GO:0009298
A0A0W0GG82	Sfitti_g15120	GO:0016021
A0A0W0GG82	Sfitti_g2581	GO:0016021
A0A0W0RV88	Sfitti_g9052	GO:0016021
A0A0W0SAJ4	Sfitti_g24150	GO:0016021
A0A0W0Z9N8	Sfitti_g6992	GO:0016021
A0A0W8DLN0	Sfitti_g22978	GO:0005737; GO:0005524; GO:0046872; GO:0004637; GO:0004641; GO:0004644; GO:0006189; GO:0009113
A0A139X1M6	Sfitti_g792	GO:0016874; GO:0008152
A0A142FFT1	Sfitti_g11663	
A0A146NU68	Sfitti_g5009	
A0A146W502	Sfitti_g5307	GO:0003723; GO:0016428
A0A146XC84	Sfitti_g23133	
A0A150GNT6	Sfitti_g20941	GO:0004332; GO:0006096
A0A150PZR5	Sfitti_g2767	GO:0016021
A0A151BA79	Sfitti_g2060	GO:0004553; GO:0005975
A0A151JAD8	Sfitti_g8921	GO:0016021
A0A151Z404	Sfitti_g7684	GO:0005525; GO:0003924
A0A158F465	Sfitti_g16358	GO:0016740
A0A161VRM3	Sfitti_g1489	GO:0016788; GO:0016874; GO:0009058
A0A161Y856	Sfitti_g16606	GO:0005524
A0A163JN58	Sfitti_g629	GO:0016021; GO:0005524; GO:0042626
A0A166G630	Sfitti_g6929	GO:0005634; GO:0032784; GO:0006357; GO:0006351
A0A166UE38	Sfitti_g7646	
A0A174W839	Sfitti_g18148	
A0A177CJ77	Sfitti_g10902	GO:0004725; GO:0008138
A0A177QWT8	Sfitti_g9596	
A0A177WIN6	Sfitti_g385	GO:0005789; GO:0016021; GO:0004584; GO:0006506
A0A178AWT2	Sfitti_g1707	
A0A178AWT2	Sfitti_g1708	
A0A182IM12	Sfitti_g462	GO:0016021
A0A182N6N5	Sfitti_g13505	GO:0005524; GO:0003678; GO:0006310; GO:0006281; GO:0000723
A0A183LF34	Sfitti_g3051	GO:0016021
A0A193KH39	Sfitti_g13147	
A0A197KAS1	Sfitti_g1407	GO:0016021
A0A1A2GJS1	Sfitti_g4660	GO:0003824
A0A1A8VKD5	Sfitti_g18592	GO:0005509
A0A1A8VSS0	Sfitti_g9862	GO:0016021
A0A1A8W228	Sfitti_g16429	
A0A1A8WRM0	Sfitti_g18600	GO:0005634; GO:0042254
A0A1A8X6B9	Sfitti_g10162	
A0A1A8YHW8	Sfitti_g11951	GO:0003676
A0A1A8ZFL0	Sfitti_g10890	
A0A1A9WS54	Sfitti_g11069	GO:0016021
A0A1B2J9Z4	Sfitti_g2785	GO:0005634; GO:0003677; GO:0046872; GO:0006310; GO:0006281; GO:0006260
A0A1B3B7F1	Sfitti_g9446	GO:0003676
A0A1B6CN93	Sfitti_g3791	GO:0016021; GO:0016491
A0A1B6IKP5	Sfitti_g1008	GO:0003676; GO:0008270
A0A1B6Z8C2	Sfitti_g21022	
A0A1B9DDY3	Sfitti_g5110	GO:0016021; GO:0007165
A0A1C3JG60	Sfitti_g4612	GO:0046872; GO:0033972
A0A1C5ZSZ7	Sfitti_g17292	
A0A1C7N6Q2	Sfitti_g15290	GO:0003824
A0A1D2N0B2	Sfitti_g21295	GO:0042555; GO:0005634; GO:0005524; GO:0003677; GO:0003678; GO:0006270
A0A1D3CWV8	Sfitti_g14828	
A0A1D6NFN5	Sfitti_g3063	GO:0015930; GO:0051536; GO:0016639; GO:0006537
A0A1D7TPI5	Sfitti_g4207	
A0A1E5A7H3	Sfitti_g3185	
A0A1E5UZG7	Sfitti_g783	GO:0005840; GO:0008276
A0A1E7EPK4	Sfitti_g19722	GO:0016021
A0A1E7EPK4	Sfitti_g15017	GO:0016021
A0A1E7F492	Sfitti_g19394	GO:0016021; GO:0003824; GO:0009058
A0A1E7FDF1	Sfitti_g1211	GO:0016021; GO:0004576; GO:0006486
A0A1E7FXG4	Sfitti_g9859	GO:0016021; GO:0008080
A0A1F2S890	Sfitti_g10817	GO:0016021; GO:0008519
A0A1F3BX19	Sfitti_g22243	GO:0005737; GO:0004042; GO:0004358; GO:0103045; GO:0006526
A0A1F3MU44	Sfitti_g5587	
A0A1F3V7B3	Sfitti_g18481	GO:0005576; GO:0008061; GO:0006030
A0A1F4QLS0	Sfitti_g12888	
A0A1F6EF47	Sfitti_g5431	GO:0004066; GO:0005524; GO:0006529
A0A1F7J526	Sfitti_g3838	GO:0031151; GO:0051726
A0A1G0VRN3	Sfitti_g3677	GO:0004553; GO:0005975
A0A1G1IA28	Sfitti_g19182	GO:0016021; GO:0005524; GO:0004672
A0A1G4HI19	Sfitti_g5996	GO:0016021
A0A1G7XWQ9	Sfitti_g16415	
A0A1H4WJZ2	Sfitti_g1306	GO:0048037
A0A1I0NQX4	Sfitti_g8430	
A0A1I0NQX4	Sfitti_g10706	
A0A1I0NQX4	Sfitti_g17869	
A0A1I2H2W0	Sfitti_g1648	GO:0016021; GO:0005524; GO:0004674
A0A1I2Q0T6	Sfitti_g18354	GO:0016021; GO:0022857
A0A1I2RW38	Sfitti_g3341	GO:0016021
A0A1I3RQF2	Sfitti_g5046	
A0A1I6EB62	Sfitti_g13610	
A0A1I7ND04	Sfitti_g20709	GO:0008168
A0A1I7VUB7	Sfitti_g20189	
A0A1I7YVZ7	Sfitti_g1171	GO:0005524; GO:0004674
A0A1I7Z1L0	Sfitti_g16339	
A0A1I8G2N0	Sfitti_g13424	
A0A1I8GNA3	Sfitti_g15887	GO:0016021; GO:0005886; GO:0005509; GO:0007156
A0A1I8IC41	Sfitti_g18626	GO:0016021; GO:0005886; GO:0005509; GO:0007156
A0A1I8IHB3	Sfitti_g8168	
A0A1J4MIV8	Sfitti_g6646	GO:0046872; GO:0003723
A0A1J4MUM8	Sfitti_g4556	GO:0016787
A0A1L3KI33	Sfitti_g9794	GO:0003968
A0A1L3KKZ3	Sfitti_g19956	GO:0003968
A0A1L6LF85	Sfitti_g15055	
A0A1L8DEW5	Sfitti_g20246	GO:0000139; GO:0016021; GO:0005351
A0A1L8GI70	Sfitti_g15618	GO:0016021
A0A1M5UYS2	Sfitti_g1284	GO:0003677; GO:0030261
A0A1M6LYS0	Sfitti_g6499	GO:0042597; GO:0030246; GO:0016829
A0A1M6LYS0	Sfitti_g21552	GO:0042597; GO:0030246; GO:0016829
A0A1M6VW33	Sfitti_g15330	GO:0016021; GO:0005525
A0A1N7A5B9	Sfitti_g2761	GO:0005737; GO:0008743; GO:0008270; GO:0019518
A0A1Q3FB49	Sfitti_g17872	GO:0016740
A0A1Q3GIM9	Sfitti_g11913	
A0A1Q3W6D4	Sfitti_g2005	GO:0031151; GO:0051726
A0A1Q4LDU8	Sfitti_g18577	GO:0016021
A0A1Q8EEE1	Sfitti_g2512	
A0A1Q8ZEG8	Sfitti_g7566	
A0A1Q8ZJK7	Sfitti_g17782	
A0A1Q8ZJK7	Sfitti_g21227	
A0A1Q8ZJQ7	Sfitti_g23559	
A0A1Q8ZJR3	Sfitti_g17448	GO:0008168
A0A1Q8ZJV2	Sfitti_g11472	
A0A1Q8ZJV2	Sfitti_g10321	
A0A1Q8ZJX4	Sfitti_g7342	GO:0008168
A0A1Q8ZJZ0	Sfitti_g8779	
A0A1Q8ZJZ0	Sfitti_g22261	
A0A1Q8ZK40	Sfitti_g16118	GO:0003676; GO:0004523
A0A1Q8ZK41	Sfitti_g3871	
A0A1Q8ZK62	Sfitti_g17459	
A0A1Q8ZKA5	Sfitti_g8860	
A0A1Q9A828	Sfitti_g20446	
A0A1Q9AC47	Sfitti_g21828	
A0A1Q9AC55	Sfitti_g6326	
A0A1Q9ATU0	Sfitti_g19693	
A0A1Q9B3Y7	Sfitti_g6621	GO:0003677; GO:0015074; GO:0006310
A0A1Q9B677	Sfitti_g21015	
A0A1Q9BDY9	Sfitti_g18225	
A0A1Q9BE00	Sfitti_g1116	
A0A1Q9BE00	Sfitti_g4022	
A0A1Q9BKE7	Sfitti_g12570	
A0A1Q9BPV3	Sfitti_g20389	
A0A1Q9BPX3	Sfitti_g10158	
A0A1Q9BPX3	Sfitti_g15397	
A0A1Q9BPX3	Sfitti_g17129	
A0A1Q9BPX3	Sfitti_g23308	
A0A1Q9BPX3	Sfitti_g24013	
A0A1Q9BPX3	Sfitti_g24184	
A0A1Q9BPX8	Sfitti_g13650	
A0A1Q9BPX8	Sfitti_g20723	
A0A1Q9BPZ9	Sfitti_g19811	GO:0009535; GO:0016021; GO:0016168; GO:0009765; GO:0018298
A0A1Q9BPZ9	Sfitti_g14286	GO:0009535; GO:0016021; GO:0016168; GO:0009765; GO:0018298
A0A1Q9BQ02	Sfitti_g6957	
A0A1Q9BQ02	Sfitti_g16506	
A0A1Q9BQ22	Sfitti_g17574	
A0A1Q9BQ35	Sfitti_g17151	
A0A1Q9BQ56	Sfitti_g10614	
A0A1Q9BQ62	Sfitti_g11884	
A0A1Q9BQ62	Sfitti_g15398	
A0A1Q9BQ63	Sfitti_g2529	
A0A1Q9BQ70	Sfitti_g3667	
A0A1Q9BQB9	Sfitti_g13935	
A0A1Q9BQE7	Sfitti_g6996	GO:0003676; GO:0008270
A0A1Q9BQE7	Sfitti_g17935	GO:0003676; GO:0008270
A0A1Q9BQE7	Sfitti_g16256	GO:0003676; GO:0008270
A0A1Q9BQI7	Sfitti_g8933	GO:0004725; GO:0008138
A0A1Q9BQJ6	Sfitti_g21020	GO:0016021
A0A1Q9BQL4	Sfitti_g4284	
A0A1Q9BQP6	Sfitti_g3589	
A0A1Q9BQS2	Sfitti_g15598	
A0A1Q9BQU4	Sfitti_g18088	
A0A1Q9BQU7	Sfitti_g12474	
A0A1Q9BQV4	Sfitti_g13115	GO:0016021
A0A1Q9BQW4	Sfitti_g18366	GO:0005524; GO:0004222
A0A1Q9BQX2	Sfitti_g18212	
A0A1Q9BR28	Sfitti_g6894	GO:0016021; GO:0020037; GO:0046872
A0A1Q9BR71	Sfitti_g2530	
A0A1Q9BR85	Sfitti_g19879	
A0A1Q9BR85	Sfitti_g15293	
A0A1Q9BR85	Sfitti_g18270	
A0A1Q9BR85	Sfitti_g18243	
A0A1Q9BR86	Sfitti_g3944	
A0A1Q9BR94	Sfitti_g5213	
A0A1Q9BR94	Sfitti_g13885	
A0A1Q9BRB8	Sfitti_g19331	
A0A1Q9BRC0	Sfitti_g13648	
A0A1Q9BRC0	Sfitti_g12817	
A0A1Q9BRE3	Sfitti_g9203	
A0A1Q9BRG2	Sfitti_g13737	
A0A1Q9BRG6	Sfitti_g8309	
A0A1Q9BRH2	Sfitti_g12066	
A0A1Q9BRH4	Sfitti_g6703	
A0A1Q9BRH5	Sfitti_g22958	
A0A1Q9BRH8	Sfitti_g11975	
A0A1Q9BRL3	Sfitti_g17471	
A0A1Q9BRM0	Sfitti_g21052	GO:0005524; GO:0008986; GO:0006090
A0A1Q9BRP1	Sfitti_g18885	
A0A1Q9BRP3	Sfitti_g8034	
A0A1Q9BRR2	Sfitti_g7939	
A0A1Q9BRT1	Sfitti_g4606	
A0A1Q9BRU6	Sfitti_g12722	GO:0016021; GO:0003676
A0A1Q9BRV2	Sfitti_g20073	
A0A1Q9BRV2	Sfitti_g24083	
A0A1Q9BRV2	Sfitti_g24096	
A0A1Q9BRW3	Sfitti_g2419	
A0A1Q9BRX4	Sfitti_g6501	
A0A1Q9BRX5	Sfitti_g7201	
A0A1Q9BRZ0	Sfitti_g21438	
A0A1Q9BRZ0	Sfitti_g16046	
A0A1Q9BRZ1	Sfitti_g15859	GO:0005524; GO:0008986; GO:0006090
A0A1Q9BRZ1	Sfitti_g9086	GO:0005524; GO:0008986; GO:0006090
A0A1Q9BRZ1	Sfitti_g20197	GO:0005524; GO:0008986; GO:0006090
A0A1Q9BRZ1	Sfitti_g12232	GO:0005524; GO:0008986; GO:0006090
A0A1Q9BS03	Sfitti_g23977	
A0A1Q9BS05	Sfitti_g8987	
A0A1Q9BS05	Sfitti_g8158	
A0A1Q9BS27	Sfitti_g23639	GO:0016021; GO:0005524; GO:0004222
A0A1Q9BS48	Sfitti_g7968	
A0A1Q9BS56	Sfitti_g5931	
A0A1Q9BS65	Sfitti_g8977	
A0A1Q9BS71	Sfitti_g14462	
A0A1Q9BS71	Sfitti_g16855	
A0A1Q9BS75	Sfitti_g5103	
A0A1Q9BSA5	Sfitti_g3379	
A0A1Q9BSA5	Sfitti_g21974	
A0A1Q9BSA7	Sfitti_g11320	
A0A1Q9BSC3	Sfitti_g18954	GO:0003676; GO:0015074
A0A1Q9BSC3	Sfitti_g22807	GO:0003676; GO:0015074
A0A1Q9BSC8	Sfitti_g12242	
A0A1Q9BSE3	Sfitti_g8704	
A0A1Q9BSF3	Sfitti_g12255	GO:0016021; GO:0005452
A0A1Q9BSF3	Sfitti_g22076	GO:0016021; GO:0005452
A0A1Q9BSF3	Sfitti_g20888	GO:0016021; GO:0005452
A0A1Q9BSF5	Sfitti_g11732	
A0A1Q9BSF5	Sfitti_g3827	
A0A1Q9BSF5	Sfitti_g12390	
A0A1Q9BSF5	Sfitti_g15403	
A0A1Q9BSG3	Sfitti_g11733	
A0A1Q9BSI1	Sfitti_g6102	
A0A1Q9BSI8	Sfitti_g10976	
A0A1Q9BSJ2	Sfitti_g18386	
A0A1Q9BSJ4	Sfitti_g7693	GO:0003676; GO:0004523
A0A1Q9BSL4	Sfitti_g22650	GO:0016021
A0A1Q9BSL6	Sfitti_g9974	
A0A1Q9BSL9	Sfitti_g16157	
A0A1Q9BSN9	Sfitti_g15043	
A0A1Q9BSP8	Sfitti_g20244	
A0A1Q9BSQ0	Sfitti_g22459	GO:0046872; GO:0008168; GO:0042558
A0A1Q9BSQ0	Sfitti_g12679	GO:0046872; GO:0008168; GO:0042558
